id,land,datum,uhrzeit,postleitzahl,stadt,treffpunkt,protestform,livestream,orga,webseite
2208,DE,2021-04-05,11:00:00,81536,München,Friedensengel,Fahrraddemo,,unbekannt,
2218,DE,2021-04-05,11:00:00,64646,Heppenheim,Bahnhof,Spaziergang,,unbekannt,
2111,DE,2021-04-05,11:00:00,23701,Eutin,Am Markt / Marktplatz,Event,,Ministerium für Menschenrechte,https://www.mfmr.de
2125,DE,2021-04-05,12:00:00,28215,Bremen,Bürgerweide,Demonstration,https://DLive.tv/QD421,Querdenken 421,https://Querdenken-421.de
2216,DE,2021-04-05,12:00:00,28195,Bremen,Bürgerweide,Kundgebung,,unbekannt,
2169,DE,2021-04-05,13:00:00,80339,München,Theresienwiese,Kundgebung,,Bayern steht zusammen e.V.,https://www.bayern-steht-zusammen.de/TERMINE/
2119,AT,2021-04-05,14:00:00,6850,Dornbirn,Marktplatz Dornbirn,Kundgebung,,unbekannt,https://corona-demo.at/
2225,DE,2021-04-05,14:00:00,10117,Berlin,Brandenburger Tor,Mahnwache,https://youtube.com/channel/UCQpCnHgX_g5_DmY3g7pKyYA/live,Compact Magazin,https://www.facebook.com/155330287422/posts/10157957861017423/?d=n
2135,DE,2021-04-05,15:00:00,07318,Saalfeld,Markt,Demonstration,,unbekannt,
2213,DE,2021-04-05,15:00:00,80333,München,Königsplatz,Kundgebung,,Frieden Freiheit Osterdemos,
2197,DE,2021-04-05,15:00:00,95032,Hof,Spielplatz am Untreusee,Demonstration,,Hof steht auf,https://t.me/Widerstand2020_Hof
2101,DE,2021-04-05,15:00:00,40213,Düsseldorf,Johannes-Rau-Platz,Spaziergang,,Querdenken 211,https://www.querdenken211.de
2186,DE,2021-04-05,16:00:00,64720,Michelstadt,Bienenmarkt-Platz,Kundgebung,,unbekannt,
2155,DE,2021-04-05,16:00:00,99974,Mühlhausen,Popperöder Quelle,Zusammenkunft,,unbekannt,
2241,DE,2021-04-05,17:00:00,17166,Teterow,Marktplatz,Kundgebung,,unbekannt,
2253,DE,2021-04-05,17:00:00,18055,Rostock,Am Stadthafen,Kundgebung,,unbekannt,
2214,DE,2021-04-05,17:00:00,80539,München,Geschwister-Scholl-Platz,Kundgebung,,Frieden Freiheit Osterdemos,
