from,to,title
401,101,"Grants/2020/03/INV-005971"
401,402,
401,102,"Grants/2020/02/INV-005033"
401,103,
401,104,
401,403,"Grants/2008/01/OPP39174_01<br>Grants/2007/12/OPP49131"
401,502,"Grants/2019/11/OPP1212902"
401,503,"Grants/2020/03/OPP1210755"
401,601,"Grants/2018/12/OPP1203082"
401,702,"Grants/2019/03/OPP1203278"
401,801,"Organisator"
402,203,
403,801,"Organisator"
101,201,
102,302,
103,202,
103,301,
103,101,
104,204,
201,301,"Beratung"
201,501,"Promotion"
204,301,"Beratung"
204,501,"Studium"
205,101,"Arbeitgeber"
206,403,"Vorsitzender"
207,301,"Bundesminister für Gesundheit"
208,401,"Gründer"
208,701,"Aktien"
209,503,"angestellt"
502,801,"Organisator"
701,302,"mRNA-Impfung"
702,302,"mRNA-Impfung"
