"Title","Link","Description","pubDate","guid"
"Murks statt Marx","https://www.rubikon.news/artikel/murks-statt-marx","<p>Wenn vorgebliche Marxisten versuchen, die inszenierte Coronakrise zu deuten, stochern sie vor allem im Nebel — und verraten jene Unterdrückten, die sie zu vertreten vorgeben.</p>","2020-09-24T17:00:00+02:00","tag:www.rubikon.news,2005:Article/4162"
"Gefährliches Versagen","https://www.rubikon.news/artikel/gefahrliches-versagen","<p>Der österreichische Gesundheitswissenschaftler Martin Sprenger kritisiert in einem neuen Buch die Politik in der Corona-Krise.</p>","2020-09-24T16:00:00+02:00","tag:www.rubikon.news,2005:Article/4161"
"Der Burnout-Irrtum","https://www.rubikon.news/artikel/der-burnout-irrtum","<p>Krank machende Erschöpfung hängt nicht nur mit psychischen Faktoren zusammen — auch die Ernährung spielt eine Rolle und beeinflusst unsere Anfälligkeit für Viren.</p>","2020-09-24T15:00:00+02:00","tag:www.rubikon.news,2005:Article/4165"
"Die zweite Protestwelle","https://www.rubikon.news/artikel/die-zweite-protestwelle","<p>In Berlin dominierten am 29. August 2020 Vernunft, Meinungsfreiheit und gute Stimmung.</p>","2020-09-24T14:00:00+02:00","tag:www.rubikon.news,2005:Article/4158"
"Studentische Apathie","https://www.rubikon.news/artikel/studentische-apathie","<p>Auf dem Campus herrscht Stillschweigen über die politischen Folgen der Coronakrise.</p>","2020-09-24T13:00:00+02:00","tag:www.rubikon.news,2005:Article/4157"
"Gekaufte Wahrheit","https://www.rubikon.news/artikel/gekaufte-wahrheit","<p>Die Ergebnisse der Hochschulforschung richten sich oft nach den Wünschen von Großsponsoren — zu unser aller Schaden. Exklusivauszug aus „Gekaufte Wissenschaft“.</p>","2020-09-24T12:00:00+02:00","tag:www.rubikon.news,2005:Article/4164"
"Bürger in Schutzhaft","https://www.rubikon.news/artikel/burger-in-schutzhaft","<p>Infolge der Corona-Maßnahmen herrschen im ganzen Land Zustände, die wir sonst nur aus Lagern kennen. </p>","2020-09-23T17:00:00+02:00","tag:www.rubikon.news,2005:Article/4154"
"Idealisten außer Dienst","https://www.rubikon.news/artikel/idealisten-ausser-dienst","<p>Linke Intellektuelle stellten sich fast ausnahmslos hinter die Corona-Maßnahmen, eines der größten Verbrechen unserer Zeit.</p>","2020-09-23T16:00:00+02:00","tag:www.rubikon.news,2005:Article/4146"
"Das Schweigen der Künstler","https://www.rubikon.news/artikel/das-schweigen-der-kunstler","<p>Musiker und Kabarettisten, die man zuvor als kritische Geister kannte, sind zu eifrigen Verfechtern der Regierungspolitik in Sachen Corona mutiert.</p>","2020-09-23T15:00:00+02:00","tag:www.rubikon.news,2005:Article/4155"
"Lob der Feigheit","https://www.rubikon.news/artikel/lob-der-feigheit","<p>Eine neue Studie der Ruhr-Universität Bochum belegt angeblich, dass die Hygienediktatur Gehorsam verdient.</p>","2020-09-23T14:00:00+02:00","tag:www.rubikon.news,2005:Article/4160"
"Atemberaubende Kindheit","https://www.rubikon.news/artikel/atemberaubende-kindheit","<p>Sollen unsere Kinder in Corona-Zeiten nicht ernsthaft Schaden nehmen, brauchen sie Schutz vor ihren „Beschützern“.</p>","2020-09-23T12:00:00+02:00","tag:www.rubikon.news,2005:Article/4103"
"Das dicke Ende","https://www.rubikon.news/artikel/das-dicke-ende-2","<p>Wir steuern auf eine Jahrhundertrezession zu, die wohl mehr Menschen das Leben kosten wird als das Corona-Virus.</p>","2020-09-22T17:00:00+02:00","tag:www.rubikon.news,2005:Article/4150"
"Der ganz normale Ausnahmezustand","https://www.rubikon.news/artikel/der-ganz-normale-ausnahmezustand","<p>Einige Juristen würden offenbar alles vertreten, um nur der Selbstzerstörung der Demokratie das Wort zu reden.</p>","2020-09-22T16:00:00+02:00","tag:www.rubikon.news,2005:Article/4151"
"Mehr Fluch als Segen","https://www.rubikon.news/artikel/mehr-fluch-als-segen","<p>Der PCR-Test ist keine Antwort auf die angebliche Bedrohung, die von Covid-19 ausgeht — darüber hinaus hat er ein massives Glaubwürdigkeitsproblem.</p>","2020-09-22T15:00:00+02:00","tag:www.rubikon.news,2005:Article/4152"
"Widerstand macht Laune","https://www.rubikon.news/artikel/widerstand-macht-laune","<p>Der DJ Captain Future veranstaltet seit einigen Monaten in der Hauptstadt die „Freedom Parade“, um gegen die Corona-Politik der Regierenden zu demonstrieren.</p>","2020-09-22T14:00:00+02:00","tag:www.rubikon.news,2005:Article/4153"
"Die eine Wahrheit","https://www.rubikon.news/artikel/die-eine-wahrheit","<p>Die „Faktenchecker“ des Spiegel schwören ihre Leser auf die reine Lehre über die Zuverlässigkeit der PCR-Tests ein.</p>","2020-09-19T15:59:00+02:00","tag:www.rubikon.news,2005:Article/4145"
