TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2019-W01;CH;_T;T;;1341
2019-W01;CH;_T;F;;716
2019-W01;CH;_T;M;;625
2019-W01;CH;Y0T4;T;;6
2019-W01;CH;Y0T4;F;;3
2019-W01;CH;Y0T4;M;;3
2019-W01;CH;Y15T19;T;;3
2019-W01;CH;Y15T19;M;;3
2019-W01;CH;Y20T24;T;;5
2019-W01;CH;Y20T24;F;;3
2019-W01;CH;Y20T24;M;;2
2019-W01;CH;Y25T29;T;;2
2019-W01;CH;Y25T29;F;;1
2019-W01;CH;Y25T29;M;;1
2019-W01;CH;Y30T34;T;;3
2019-W01;CH;Y30T34;F;;1
2019-W01;CH;Y30T34;M;;2
2019-W01;CH;Y35T39;T;;4
2019-W01;CH;Y35T39;F;;3
2019-W01;CH;Y35T39;M;;1
2019-W01;CH;Y40T44;T;;10
2019-W01;CH;Y40T44;F;;5
2019-W01;CH;Y40T44;M;;5
2019-W01;CH;Y45T49;T;;16
2019-W01;CH;Y45T49;F;;7
2019-W01;CH;Y45T49;M;;9
2019-W01;CH;Y50T54;T;;21
2019-W01;CH;Y50T54;F;;13
2019-W01;CH;Y50T54;M;;8
2019-W01;CH;Y55T59;T;;33
2019-W01;CH;Y55T59;F;;12
2019-W01;CH;Y55T59;M;;21
2019-W01;CH;Y60T64;T;;45
2019-W01;CH;Y60T64;F;;16
2019-W01;CH;Y60T64;M;;29
2019-W01;CH;Y65T69;T;;67
2019-W01;CH;Y65T69;F;;27
2019-W01;CH;Y65T69;M;;40
2019-W01;CH;Y70T74;T;;97
2019-W01;CH;Y70T74;F;;36
2019-W01;CH;Y70T74;M;;61
2019-W01;CH;Y75T79;T;;153
2019-W01;CH;Y75T79;F;;74
2019-W01;CH;Y75T79;M;;79
2019-W01;CH;Y80T84;T;;209
2019-W01;CH;Y80T84;F;;94
2019-W01;CH;Y80T84;M;;115
2019-W01;CH;Y85T89;T;;272
2019-W01;CH;Y85T89;F;;145
2019-W01;CH;Y85T89;M;;127
2019-W01;CH;Y_GE90;T;;395
2019-W01;CH;Y_GE90;F;;276
2019-W01;CH;Y_GE90;M;;119
2019-W01;CH011;_T;T;;118
2019-W01;CH011;_T;F;;54
2019-W01;CH011;_T;M;;64
2019-W01;CH011;Y20T24;T;;1
2019-W01;CH011;Y20T24;F;;1
2019-W01;CH011;Y25T29;T;;1
2019-W01;CH011;Y25T29;M;;1
2019-W01;CH011;Y30T34;T;;1
2019-W01;CH011;Y30T34;M;;1
2019-W01;CH011;Y40T44;T;;1
2019-W01;CH011;Y40T44;F;;1
2019-W01;CH011;Y45T49;T;;1
2019-W01;CH011;Y45T49;M;;1
2019-W01;CH011;Y50T54;T;;2
2019-W01;CH011;Y50T54;M;;2
2019-W01;CH011;Y55T59;T;;1
2019-W01;CH011;Y55T59;M;;1
2019-W01;CH011;Y60T64;T;;7
2019-W01;CH011;Y60T64;F;;2
2019-W01;CH011;Y60T64;M;;5
2019-W01;CH011;Y65T69;T;;4
2019-W01;CH011;Y65T69;F;;1
2019-W01;CH011;Y65T69;M;;3
2019-W01;CH011;Y70T74;T;;9
2019-W01;CH011;Y70T74;F;;4
2019-W01;CH011;Y70T74;M;;5
2019-W01;CH011;Y75T79;T;;10
2019-W01;CH011;Y75T79;F;;4
2019-W01;CH011;Y75T79;M;;6
2019-W01;CH011;Y80T84;T;;24
2019-W01;CH011;Y80T84;F;;11
2019-W01;CH011;Y80T84;M;;13
2019-W01;CH011;Y85T89;T;;22
2019-W01;CH011;Y85T89;F;;9
2019-W01;CH011;Y85T89;M;;13
2019-W01;CH011;Y_GE90;T;;34
2019-W01;CH011;Y_GE90;F;;21
2019-W01;CH011;Y_GE90;M;;13
2019-W01;CH012;_T;T;;56
2019-W01;CH012;_T;F;;34
2019-W01;CH012;_T;M;;22
2019-W01;CH012;Y35T39;T;;1
2019-W01;CH012;Y35T39;F;;1
2019-W01;CH012;Y40T44;T;;1
2019-W01;CH012;Y40T44;M;;1
2019-W01;CH012;Y45T49;T;;2
2019-W01;CH012;Y45T49;F;;2
2019-W01;CH012;Y50T54;T;;1
2019-W01;CH012;Y50T54;F;;1
2019-W01;CH012;Y60T64;T;;1
2019-W01;CH012;Y60T64;F;;1
2019-W01;CH012;Y70T74;T;;2
2019-W01;CH012;Y70T74;F;;1
2019-W01;CH012;Y70T74;M;;1
2019-W01;CH012;Y75T79;T;;4
2019-W01;CH012;Y75T79;F;;2
2019-W01;CH012;Y75T79;M;;2
2019-W01;CH012;Y80T84;T;;11
2019-W01;CH012;Y80T84;F;;5
2019-W01;CH012;Y80T84;M;;6
2019-W01;CH012;Y85T89;T;;10
2019-W01;CH012;Y85T89;F;;5
2019-W01;CH012;Y85T89;M;;5
2019-W01;CH012;Y_GE90;T;;23
2019-W01;CH012;Y_GE90;F;;16
2019-W01;CH012;Y_GE90;M;;7
2019-W01;CH013;_T;T;;82
2019-W01;CH013;_T;F;;47
2019-W01;CH013;_T;M;;35
2019-W01;CH013;Y20T24;T;;2
2019-W01;CH013;Y20T24;F;;1
2019-W01;CH013;Y20T24;M;;1
2019-W01;CH013;Y40T44;T;;1
2019-W01;CH013;Y40T44;M;;1
2019-W01;CH013;Y50T54;T;;4
2019-W01;CH013;Y50T54;F;;2
2019-W01;CH013;Y50T54;M;;2
2019-W01;CH013;Y55T59;T;;2
2019-W01;CH013;Y55T59;F;;2
2019-W01;CH013;Y60T64;T;;2
2019-W01;CH013;Y60T64;M;;2
2019-W01;CH013;Y65T69;T;;4
2019-W01;CH013;Y65T69;F;;2
2019-W01;CH013;Y65T69;M;;2
2019-W01;CH013;Y70T74;T;;5
2019-W01;CH013;Y70T74;F;;1
2019-W01;CH013;Y70T74;M;;4
2019-W01;CH013;Y75T79;T;;5
2019-W01;CH013;Y75T79;F;;2
2019-W01;CH013;Y75T79;M;;3
2019-W01;CH013;Y80T84;T;;11
2019-W01;CH013;Y80T84;F;;4
2019-W01;CH013;Y80T84;M;;7
2019-W01;CH013;Y85T89;T;;18
2019-W01;CH013;Y85T89;F;;12
2019-W01;CH013;Y85T89;M;;6
2019-W01;CH013;Y_GE90;T;;28
2019-W01;CH013;Y_GE90;F;;21
2019-W01;CH013;Y_GE90;M;;7
2019-W01;CH021;_T;T;;182
2019-W01;CH021;_T;F;;101
2019-W01;CH021;_T;M;;81
2019-W01;CH021;Y0T4;T;;2
2019-W01;CH021;Y0T4;F;;1
2019-W01;CH021;Y0T4;M;;1
2019-W01;CH021;Y45T49;T;;3
2019-W01;CH021;Y45T49;F;;1
2019-W01;CH021;Y45T49;M;;2
2019-W01;CH021;Y50T54;T;;1
2019-W01;CH021;Y50T54;F;;1
2019-W01;CH021;Y55T59;T;;4
2019-W01;CH021;Y55T59;M;;4
2019-W01;CH021;Y60T64;T;;5
2019-W01;CH021;Y60T64;F;;1
2019-W01;CH021;Y60T64;M;;4
2019-W01;CH021;Y65T69;T;;9
2019-W01;CH021;Y65T69;F;;4
2019-W01;CH021;Y65T69;M;;5
2019-W01;CH021;Y70T74;T;;14
2019-W01;CH021;Y70T74;F;;6
2019-W01;CH021;Y70T74;M;;8
2019-W01;CH021;Y75T79;T;;9
2019-W01;CH021;Y75T79;F;;5
2019-W01;CH021;Y75T79;M;;4
2019-W01;CH021;Y80T84;T;;28
2019-W01;CH021;Y80T84;F;;11
2019-W01;CH021;Y80T84;M;;17
2019-W01;CH021;Y85T89;T;;38
2019-W01;CH021;Y85T89;F;;21
2019-W01;CH021;Y85T89;M;;17
2019-W01;CH021;Y_GE90;T;;69
2019-W01;CH021;Y_GE90;F;;50
2019-W01;CH021;Y_GE90;M;;19
2019-W01;CH022;_T;T;;54
2019-W01;CH022;_T;F;;28
2019-W01;CH022;_T;M;;26
2019-W01;CH022;Y0T4;T;;1
2019-W01;CH022;Y0T4;M;;1
2019-W01;CH022;Y45T49;T;;1
2019-W01;CH022;Y45T49;M;;1
2019-W01;CH022;Y55T59;T;;4
2019-W01;CH022;Y55T59;F;;1
2019-W01;CH022;Y55T59;M;;3
2019-W01;CH022;Y65T69;T;;4
2019-W01;CH022;Y65T69;F;;3
2019-W01;CH022;Y65T69;M;;1
2019-W01;CH022;Y70T74;T;;4
